EVENTO,FORMADOR (A)/TUTOR (A),INICIO DA FORMAÇÃO,FIM DA FORMAÇÃO,HORARIO INICIO,HORARIO FIM,CH,MODALIDADE,LOCAL,PÚBLICO-ALVO
CURSO FORMAÇÃO DE FACILITADOR JUSTIÇA RESTAURATIVA - MÓDULO 2,ANGELA DO SOCORRO PAIVA FERREIRA MARTINS E LUCINEIDE LIMA SANTOS (INSTRUTORAS INTERNAS),24/03/25,28/03/25,08:30,12:30,20h/a,PRESENCIAL,PRESENCIAL,INDICAÇÃO CEVID/TJAP
CURSO TREINAMENTO EM E-SOCIAL PARA ÓRGÃOS PÚBLICOS– MÓDULO 2,MARIA CARMEM MACIEL DOS SANTOS PESSOA JURÍDICA GESTAP,24/03/25,28/03/25,08:00,13:00,20h/a,PRESENCIAL,PRESENCIAL,SERV. SEGESP/ TJAP
CURSO HABILIDADES EM T&D – FORMANDO PROFISISONAIS QUE DESENVOLVEM PESSOAS,ASSOCIAÇÃO BRASILIERA DE TREINAMENTO E DESENVOLVIMENTO - ABDT,MARÇO,MARÇO,,,50h/a,EAD,EAD,SERV. EJAP
CURSO BUSCA PATRIMONIAL AVANÇADA COM O SISBAJUD (conforme diretrizes CNJ),ADRIANO ARAÚJO (INSTRUTOR EXTERNO – MAGISTRADO RN),25/03/25,26/03/25,08:00,12:00,8h/a,REMOTO,ZOOM,MAGIS.SERV.TJAP
CURSO INTRODUÇÃO AO PROTOCOLO PARA DEPOIMENTO ESPECIAL DE CRIANÇAS E ADOLESCENTES NAS AÇÕES DE FAMÍLIA EM QUE SE DISCUTA ALIENAÇÃO PARENTAL,ANA CLEA LOPES MAGALHÃES (INSTRUTORA INTERNA),31/03/25,31/04/25,08:30,12:30,20h/a,PRESENCIAL,PRESENCIAL,SERVIDORES – VARAS DE FAMÍLIA E VIOLÊNCIA
CURSO CONCILIADOR JUDICIAL PARA ESTAGIÁRIOS DE CEJUSC,EUZINETE DA SILVA BENTES NILCE HELENA  (INSTRUTORAS INTERNAS),31/03/25,04/04/25,14:00,18:00,20h/a,PRESENCIAL,PRESENCIAL,ESTAGIÁRIOS (AS) DOS CEJUSCS
CURSO SNGB: CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,31/03/25,04/04/25,,,3h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO FACILITADORES EM CÍRCULOS DE JUSTIÇA RESTAURATIVA E CONSTRUÇÃO DE PAZ,ANTONIO RENATO GONÇALVES PEDROSA  INSTITUTO TERRE DES HOMMES BRASIL (PJ),31/03/25,04/04/25,08:30,12:30,20h/a,PRESENCIAL,PRESENCIAL,25 PARTICIPANTES
CURSO A GESTÃO DO CEJUSC COMO TRIBUNAL MULTIPORTAS,TUTOR CARLOS MARCIO DE MELO QUEIROZ (INSTRUTOR EXTERNO-MAGIS TJPA),1 º/04/25,04/05/25,,,30h/a,EAD,EAD,MAGIS/ ASSESSOR
CURSO TÓPICOS DE SINTAXE DA LÍNGUA PORTUGUESA,AUTOINSTRUCIONAL – compartilhado STJ,1 º/04/25,30/04/25,,,22h/a,EAD,MOODLE,SERV. TJAP
CURSO JAVA BÁSICO - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,1 º/04/25,30/04/25,,,40h/a,EAD,MOODLE,SERVIDORES E SERVIDORAS DO TJAP – ÁREA TÉCNICA
